GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.medicita.app.dto.common,ApiResponse,20,0,0,0,11,0,2,0,2,0
,com.medicita.app.controller,PatientController,68,0,0,0,18,0,5,0,5,0
,com.medicita.app.controller,AuthController,18,0,0,0,3,0,2,0,2,0
,com.medicita.app.controller,AdminController,210,0,0,0,40,0,22,0,22,0
,com.medicita.app.controller,PublicController,44,0,0,0,7,0,5,0,5,0
,com.medicita.app.controller,DoctorController,106,0,4,0,26,0,11,0,9,0
,com.medicita.app.service.impl,AppointmentServiceImpl,47,335,4,20,9,69,7,21,3,13
,com.medicita.app.service.impl,DoctorLeaveServiceImpl,47,219,1,5,5,50,6,12,5,10
,com.medicita.app.service.impl,PatientServiceImpl,0,109,0,0,0,22,0,8,0,8
,com.medicita.app.service.impl,DoctorScheduleServiceImpl,20,455,12,28,0,95,14,21,2,13
,com.medicita.app.service.impl,SpecialtyServiceImpl,7,163,0,2,0,29,1,13,1,12
,com.medicita.app.service.impl,DoctorServiceImpl,48,281,1,5,2,64,7,13,6,11
,com.medicita.app.service.impl,AuthServiceImpl,0,121,0,6,0,31,0,7,0,4
,com.medicita.app.service.impl,UserServiceImpl,0,121,0,0,0,26,0,10,0,10
,com.medicita.app.enums,Weekday,0,74,0,0,0,2,0,1,0,1
,com.medicita.app.enums,Role,0,34,0,0,0,2,0,1,0,1
,com.medicita.app.enums,AppointmentStatus,0,44,0,0,0,2,0,1,0,1
,com.medicita.app.enums,LeaveType,0,34,0,0,0,2,0,1,0,1
,com.medicita.app.enums,LeaveStatus,0,34,0,0,0,2,0,1,0,1
,com.medicita.app.security,SecurityConfig,248,0,0,0,44,0,12,0,12,0
,com.medicita.app.security,JwtTokenProvider,81,4,0,0,25,1,6,1,6,1
,com.medicita.app.security,UserDetailsServiceImpl,44,0,2,0,8,0,3,0,2,0
,com.medicita.app.security,JwtAuthenticationFilter,57,0,6,0,14,0,4,0,1,0
,com.medicita.app.entity,User,21,0,0,0,6,0,6,0,6,0
,com.medicita.app.exception,GlobalExceptionHandler,82,0,2,0,23,0,9,0,8,0
,com.medicita.app.exception,ResourceNotFoundException,0,12,0,0,0,4,0,2,0,2
