timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136519495,90,S1-R1 GET /api/public/specialties,200,,Escenario 1 — Carga Normal (5 usuarios) 1-1,text,true,,638,170,2,2,http://localhost:8080/api/public/specialties,86,0,24
1779136520409,20,S1-R1 GET /api/public/specialties,200,,Escenario 1 — Carga Normal (5 usuarios) 1-2,text,true,,638,170,3,3,http://localhost:8080/api/public/specialties,19,0,2
1779136521409,26,S1-R1 GET /api/public/specialties,200,,Escenario 1 — Carga Normal (5 usuarios) 1-3,text,true,,638,170,4,4,http://localhost:8080/api/public/specialties,22,0,2
1779136520590,94,S1-R2 POST /api/auth/login (admin),200,,Escenario 1 — Carga Normal (5 usuarios) 1-1,text,true,,832,237,3,3,http://localhost:8080/api/auth/login,93,0,0
1779136521431,185,S1-R2 POST /api/auth/login (admin),200,,Escenario 1 — Carga Normal (5 usuarios) 1-2,text,true,,832,237,4,4,http://localhost:8080/api/auth/login,184,0,0
1779136522403,18,S1-R1 GET /api/public/specialties,200,,Escenario 1 — Carga Normal (5 usuarios) 1-4,text,true,,638,170,5,5,http://localhost:8080/api/public/specialties,17,0,1
1779136522437,102,S1-R2 POST /api/auth/login (admin),200,,Escenario 1 — Carga Normal (5 usuarios) 1-3,text,true,,832,237,5,5,http://localhost:8080/api/auth/login,101,0,0
1779136522954,17,S1-R3 GET /actuator/health,401,,Escenario 1 — Carga Normal (5 usuarios) 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",477,163,5,5,http://localhost:8080/actuator/health,17,0,0
1779136522954,17,S1-R3 GET /actuator/health,401,,Escenario 1 — Carga Normal (5 usuarios) 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",477,163,5,5,http://localhost:8080/actuator/health,17,0,0
1779136523409,12,S1-R1 GET /api/public/specialties,200,,Escenario 1 — Carga Normal (5 usuarios) 1-5,text,true,,637,170,5,6,http://localhost:8080/api/public/specialties,11,0,1
1779136523422,72,S1-R2 POST /api/auth/login (admin),200,,Escenario 1 — Carga Normal (5 usuarios) 1-4,text,true,,832,237,5,6,http://localhost:8080/api/auth/login,72,0,0
1779136523541,5,S1-R3 GET /actuator/health,401,,Escenario 1 — Carga Normal (5 usuarios) 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[401]]]

****** comparison: [[[200]]]

/",477,163,5,6,http://localhost:8080/actuator/health,4,0,0
1779136523910,11,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-1,text,true,,638,170,2,7,http://localhost:8080/api/public/specialties,10,0,1
1779136523973,13,S1-R1 GET /api/public/specialties,200,,Escenario 1 — Carga Normal (5 usuarios) 1-1,text,true,,638,170,5,7,http://localhost:8080/api/public/specialties,12,0,0
